collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
MACUFA21,14,Electrofishing (individuals),Lepomis microlophus,redear sunfish,redear sunfish,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],3,0.0423
MACUFA21,15,Electrofishing (individuals),Menidia beryllina complex,silverside,silverside,silverside (Menidia beryllina complex),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],15,0.2113
MACUFA21,16,Electrofishing (individuals),Micropterus dolomieu,smallmouth bass,,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],1,0.0141
MACUFA21,17,Electrofishing (individuals),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],39,0.5493
MACUFA21,18,Electrofishing (individuals),Notemigonus crysoleucas,golden shiner,golden shiner,golden shiner (Notemigonus crysoleucas),Cyprinidae: Notemigonus crysoleucas (golden shiner) [Introduced],6,0.0845
MACUFA21,19,Electrofishing (individuals),Oncorhynchus mykiss ,rainbow trout,,rainbow trout (Oncorhynchus mykiss ),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],0,0.0000
MACUFA21,20,Electrofishing (individuals),Oncorhynchus tshawytscha,Chinook salmon,,Chinook salmon (Oncorhynchus tshawytscha),Salmonidae: O. tshawytscha (Chinook salmon) [Native],0,0.0000
MACUFA21,21,Electrofishing (individuals),Orthodon microlepidotus,Sacramento blackfish,,Sacramento blackfish (Orthodon microlepidotus),Cyprinidae: Orthodon microlepidotus (Sacramento blackfish) [Native],0,0.0000
MACUFA21,22,Electrofishing (individuals),Percina macrolepida,bigscale logperch,,bigscale logperch (Percina macrolepida),Percidae: Percina macrolepida (bigscale logperch) [Introduced],0,0.0000
MACUFA21,23,Electrofishing (individuals),Pimephales promelas,fathead minnow,,fathead minnow (Pimephales promelas),Cyprinidae: Pimephales promelas (fathead minnow) [Introduced],0,0.0000
MACUFA21,24,Electrofishing (individuals),Pomoxis nigromaculatus,black crappie,,black crappie (Pomoxis nigromaculatus),Centrarchidae: Pomoxis nigromaculatus (black crappie) [Introduced],0,0.0000
MACUFA21,25,Electrofishing (individuals),Ptychocheilus grandis,Sacramento pikeminnow,,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],0,0.0000
MACUFA21,26,eDNA (reads),Ameiurus catus,white catfish,,white catfish (Ameiurus catus),Ictaluridae: Ameiurus catus (white catfish) [Introduced],185,0.0008
MACUFA21,27,eDNA (reads),Ameiurus melas/nebulosus,black/brown bullhead,,black/brown bullhead (Ameiurus melas/nebulosus),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],353,0.0015
MACUFA21,28,eDNA (reads),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],840,0.0035
MACUFA21,29,eDNA (reads),Catostomus occidentalis,Sacramento sucker,,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],5345,0.0222
MACUFA21,30,eDNA (reads),Cottus asper,prickly sculpin,prickly sculpin,prickly sculpin (Cottus asper),Cottidae: Cottus asper (prickly sculpin) [Native],11882,0.0495
MACUFA21,31,eDNA (reads),Cyprinus carpio,common carp,common carp,common carp (Cyprinus carpio),Cyprinidae: Cyprinus carpio (common carp) [Introduced],38928,0.1620
MACUFA21,32,eDNA (reads),Gambusia affinis,western mosquitofish,western mosquitofish,western mosquitofish (Gambusia affinis),Poeciliidae: Gambusia affinis (western mosquitofish) [Introduced],30355,0.1264
MACUFA21,33,eDNA (reads),Gasterosteus aculeatus,threespine stickleback,,threespine stickleback (Gasterosteus aculeatus),Gasterosteidae: Gasterosteus aculeatus (threespine stickleback) [Native],0,0.0000
MACUFA21,34,eDNA (reads),Hysterocarpus traskii,tule perch,,tule perch (Hysterocarpus traskii),Embiotocidae: Hysterocarpus traskii (tule perch) [Native],103,0.0004
MACUFA21,35,eDNA (reads),Lavinia exilicauda,hitch,,hitch (Lavinia exilicauda),Cyprinidae: Lavinia exilicauda (hitch) [Native],0,0.0000
MACUFA21,36,eDNA (reads),Lepomis cyanellus,green sunfish,,green sunfish (Lepomis cyanellus),Centrarchidae: Lepomis cyanellus (green sunfish) [Introduced],3197,0.0133
MACUFA21,37,eDNA (reads),Lepomis gulosus,warmouth,,warmouth (Lepomis gulosus),Centrarchidae: L. gulosus (warmouth) [Introduced],1399,0.0058
MACUFA21,38,eDNA (reads),Lepomis macrochirus,bluegill,bluegill,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],34851,0.1451
MACUFA21,39,eDNA (reads),Lepomis microlophus,redear sunfish,redear sunfish,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],26476,0.1102
MACUFA21,40,eDNA (reads),Menidia beryllina complex,silverside,,silverside (Menidia beryllina complex),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],5924,0.0247
MACUFA21,41,eDNA (reads),Micropterus dolomieu,smallmouth bass,,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],272,0.0011
MACUFA21,42,eDNA (reads),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],75133,0.3127
MACUFA21,43,eDNA (reads),Notemigonus crysoleucas,golden shiner,,golden shiner (Notemigonus crysoleucas),Cyprinidae: Notemigonus crysoleucas (golden shiner) [Introduced],1252,0.0052
MACUFA21,44,eDNA (reads),Oncorhynchus mykiss ,rainbow trout,,rainbow trout (Oncorhynchus mykiss ),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],0,0.0000
