collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
MACUFA20,29,eDNA (reads),Catostomus occidentalis,Sacramento sucker,,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],0,0.0000
MACUFA20,30,eDNA (reads),Cottus asper,prickly sculpin,,prickly sculpin (Cottus asper),Cottidae: Cottus asper (prickly sculpin) [Native],500,0.0035
MACUFA20,31,eDNA (reads),Cyprinus carpio,common carp,,common carp (Cyprinus carpio),Cyprinidae: Cyprinus carpio (common carp) [Introduced],1436,0.0101
MACUFA20,32,eDNA (reads),Gambusia affinis,western mosquitofish,,western mosquitofish (Gambusia affinis),Poeciliidae: Gambusia affinis (western mosquitofish) [Introduced],4148,0.0291
MACUFA20,33,eDNA (reads),Gasterosteus aculeatus,threespine stickleback,,threespine stickleback (Gasterosteus aculeatus),Gasterosteidae: Gasterosteus aculeatus (threespine stickleback) [Native],0,0.0000
MACUFA20,34,eDNA (reads),Hysterocarpus traskii,tule perch,,tule perch (Hysterocarpus traskii),Embiotocidae: Hysterocarpus traskii (tule perch) [Native],0,0.0000
MACUFA20,35,eDNA (reads),Lavinia exilicauda,hitch,,hitch (Lavinia exilicauda),Cyprinidae: Lavinia exilicauda (hitch) [Native],0,0.0000
MACUFA20,36,eDNA (reads),Lepomis cyanellus,green sunfish,,green sunfish (Lepomis cyanellus),Centrarchidae: Lepomis cyanellus (green sunfish) [Introduced],3887,0.0273
MACUFA20,37,eDNA (reads),Lepomis gulosus,warmouth,,warmouth (Lepomis gulosus),Centrarchidae: L. gulosus (warmouth) [Introduced],531,0.0037
MACUFA20,38,eDNA (reads),Lepomis macrochirus,bluegill,bluegill,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],79987,0.5608
MACUFA20,39,eDNA (reads),Lepomis microlophus,redear sunfish,redear sunfish,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],25410,0.1782
MACUFA20,40,eDNA (reads),Menidia beryllina complex,silverside,,silverside (Menidia beryllina complex),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],2920,0.0205
MACUFA20,41,eDNA (reads),Micropterus dolomieu,smallmouth bass,,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],0,0.0000
MACUFA20,42,eDNA (reads),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],21033,0.1475
MACUFA20,43,eDNA (reads),Notemigonus crysoleucas,golden shiner,,golden shiner (Notemigonus crysoleucas),Cyprinidae: Notemigonus crysoleucas (golden shiner) [Introduced],446,0.0031
MACUFA20,44,eDNA (reads),Oncorhynchus mykiss ,rainbow trout,,rainbow trout (Oncorhynchus mykiss ),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],0,0.0000
MACUFA20,45,eDNA (reads),Oncorhynchus tshawytscha,Chinook salmon,,Chinook salmon (Oncorhynchus tshawytscha),Salmonidae: O. tshawytscha (Chinook salmon) [Native],20,0.0001
MACUFA20,46,eDNA (reads),Orthodon microlepidotus,Sacramento blackfish,,Sacramento blackfish (Orthodon microlepidotus),Cyprinidae: Orthodon microlepidotus (Sacramento blackfish) [Native],0,0.0000
MACUFA20,47,eDNA (reads),Percina macrolepida,bigscale logperch,,bigscale logperch (Percina macrolepida),Percidae: Percina macrolepida (bigscale logperch) [Introduced],0,0.0000
MACUFA20,48,eDNA (reads),Pimephales promelas,fathead minnow,,fathead minnow (Pimephales promelas),Cyprinidae: Pimephales promelas (fathead minnow) [Introduced],0,0.0000
MACUFA20,49,eDNA (reads),Pomoxis nigromaculatus,black crappie,,black crappie (Pomoxis nigromaculatus),Centrarchidae: Pomoxis nigromaculatus (black crappie) [Introduced],0,0.0000
MACUFA20,50,eDNA (reads),Ptychocheilus grandis,Sacramento pikeminnow,,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],2031,0.0142
OLDRFA20,1,Electrofishing (individuals),Ameiurus catus,white catfish,,white catfish (Ameiurus catus),Ictaluridae: Ameiurus catus (white catfish) [Introduced],1,0.0054
OLDRFA20,2,Electrofishing (individuals),Ameiurus melas/nebulosos,black/brown bullhead,,black/brown bullhead (Ameiurus melas),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],0,0.0000
OLDRFA20,3,Electrofishing (individuals),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],0,0.0000
OLDRFA20,4,Electrofishing (individuals),Catostomus occidentalis,Sacramento sucker,,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],0,0.0000
