,PC_001,PC_002,PC_003,PC_004,PC_005,PC_006,PC_007,PC_008,PC_009,PC_018,PC_019,PC_020,PC_025,PC_026,PC_035,PC_027,PC_028,PC_036,PC_029,PC_030,PC_031,PC_037,PC_038,PC_039,PC_040,PC_041,PC_043,PC_044,PC_045,PC_049,PC_051,PC_052,PC_053,PC_055,PC_056,PC_057,PC_058,PC_059,PC_061,PC_062,PC_063,PC_070,PC_071,PC_072,PC_074,PC_075,PC_076,PC_078,PC_079,PC_080,PC_082,PC_083,PC_084,PC_085,PC_086,PC_087,PC_090,PC_091,PC_092
Orthodon microlepidotus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24674,0.05960,0.18899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00000,0.00000,0.00000,0.00000,0.00000,0.05362,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.85349,0.97573,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00017,0.00000
Carassius auratus,0.00000,0.00026,0.00000,0.00000,0.00000,0.00000,0.81613,0.54773,0.94618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00110,0.32236,0.00000,0.00000,0.00000,0.00000,0.00000,0.04983,0.03943,0.11921,0.59611,0.74991,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09313,0.00000,0.00000,0.00000,0.00036,0.00000
Menidia beryllina complex,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.55990,0.21793,0.00000,0.00000,0.00000,0.00000,0.00046,0.00000,0.00000,0.00000,0.00000,0.00000,0.59053,0.00000,0.00000,1.00000,0.57447,0.46650,0.00000,0.00000,0.00000,0.00038,0.00000,0.00000,0.00000,0.00000,0.00000,0.00363,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00216,0.13208,0.93297,0.98425,0.28914,0.34911,0.54901,0.00000,0.00000,0.00000,0.00182,0.00000,0.00000,0.00000,0.00000,0.00000,0.50279,0.00000,0.00000
Notemigonus crysoleucas,0.00000,0.00050,0.00000,0.00000,0.00000,0.00000,0.23743,0.38908,0.43348,0.00000,0.00019,0.00000,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.03420,0.03060,0.00000,0.04662,0.00000,0.04994,0.00000,0.00000,0.00000,0.00000,0.00000,0.00163,0.00000,0.00000,0.00000,0.00185,0.00108,0.64023,0.36475,1.00000,0.03466,0.00228,0.00000,0.03343,0.05486,0.06075,0.01113,0.00000,0.03426,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Percina macrolepida,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11153,0.03974,0.17309,0.09361,0.00018,0.00000,0.00000,0.00000,0.00000,0.09920,0.00000,0.00000,0.00000,0.00000,0.06176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00045,0.00097,0.00000,0.00000,0.00000,0.00487,0.07904,0.00000,0.00000,0.15946,0.11614,0.14369,0.11760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Micropterus dolomieu,0.03990,0.29831,0.25177,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.62635,0.00000,0.00000,0.00052,0.00000,0.00000,0.00000,0.00000,0.00000,0.11120,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00085,0.07642,0.02523,0.01088,0.01828,0.26504,0.23677,0.29376,0.56737,0.08079,0.00175,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13101
Oncorhynchus nerka,0.96546,1.00000,0.60360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Pimephales promelas,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00072,0.35756,0.23706,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Lepomis gulosus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.51504,0.67044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.84800,1.00000,0.57961,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Ameiurus catus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31713,0.00618,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08282,0.00000,1.00000,0.15954,0.09600,0.23575,0.00000,0.03872,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11740,0.25498,0.15455,0.05529,0.08012,0.20344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Pomoxis nigromaculatus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93378,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07986,0.00000,0.00000,0.00000,0.02350,0.00000,0.00000,0.00000,0.00000,0.07183,0.00000,0.00000,0.46742,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Ameiurus melas/nebulosus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08343,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02496,0.53478,0.70875,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.27241,0.00000,1.00000,0.00000,0.00000,0.00000,0.85451,0.82421,0.39892,0.26001,0.07241,0.04184,0.00000,0.00456,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02484,0.00000,0.00000
Dorosoma petenense,0.49366,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
